Echipa,Data,Competitie,Gazda,Oaspete,Scor_Gazda,Scor_Oaspete,Rezultat
AC Milan,2025-11-08,Serie A,Parma Calcio 1913,AC Milan,2,2,E
AC Milan,2025-11-02,Serie A,AC Milan,AS Roma,1,0,V
AC Milan,2025-10-28,Serie A,Atalanta BC,AC Milan,1,1,E
AC Milan,2025-10-24,Serie A,AC Milan,AC Pisa 1909,2,2,E
AC Milan,2025-10-19,Serie A,AC Milan,ACF Fiorentina,2,1,V
AC Milan,2025-09-28,Serie A,AC Milan,SSC Napoli,2,1,V
AC Milan,2025-09-20,Serie A,Udinese Calcio,AC Milan,0,3,V
AC Milan,2025-09-14,Serie A,AC Milan,Bologna FC 1909,1,0,V
AC Milan,2025-08-29,Serie A,US Lecce,AC Milan,0,2,V
AC Milan,2025-08-23,Serie A,AC Milan,US Cremonese,1,2,Î
Arsenal,2025-11-08,Premier League,Sunderland AFC,Arsenal FC,2,2,E
Arsenal,2025-11-04,UEFA Champions League,SK Slavia Praha,Arsenal FC,0,3,Î
Arsenal,2025-11-01,Premier League,Burnley FC,Arsenal FC,0,2,Î
Arsenal,2025-10-26,Premier League,Arsenal FC,Crystal Palace FC,1,0,Î
Arsenal,2025-10-21,UEFA Champions League,Arsenal FC,Club Atlético de Madrid,4,0,Î
Arsenal,2025-10-18,Premier League,Fulham FC,Arsenal FC,0,1,Î
Arsenal,2025-10-04,Premier League,Arsenal FC,West Ham United FC,2,0,Î
Arsenal,2025-10-01,UEFA Champions League,Arsenal FC,PAE Olympiakos SFP,2,0,Î
Arsenal,2025-09-28,Premier League,Newcastle United FC,Arsenal FC,1,2,Î
Arsenal,2025-09-16,UEFA Champions League,Athletic Club,Arsenal FC,0,2,Î
Arsenal,2025-09-13,Premier League,Arsenal FC,Nottingham Forest FC,3,0,Î
Arsenal,2025-08-23,Premier League,Arsenal FC,Leeds United FC,5,0,Î
Arsenal,2025-08-17,Premier League,Manchester United FC,Arsenal FC,0,1,Î
Barcelona,2025-11-09,Primera Division,RC Celta de Vigo,FC Barcelona,2,4,Î
Barcelona,2025-11-05,UEFA Champions League,Club Brugge KV,FC Barcelona,3,3,E
Barcelona,2025-11-02,Primera Division,FC Barcelona,Elche CF,3,1,Î
Barcelona,2025-10-21,UEFA Champions League,FC Barcelona,PAE Olympiakos SFP,6,1,Î
Barcelona,2025-10-18,Primera Division,FC Barcelona,Girona FC,2,1,Î
Barcelona,2025-10-05,Primera Division,Sevilla FC,FC Barcelona,4,1,Î
Barcelona,2025-10-01,UEFA Champions League,FC Barcelona,Paris Saint-Germain FC,1,2,Î
Barcelona,2025-09-28,Primera Division,FC Barcelona,Real Sociedad de Fútbol,2,1,Î
Barcelona,2025-09-25,Primera Division,Real Oviedo,FC Barcelona,1,3,Î
Barcelona,2025-09-21,Primera Division,FC Barcelona,Getafe CF,3,0,Î
Barcelona,2025-09-18,UEFA Champions League,Newcastle United FC,FC Barcelona,1,2,Î
Barcelona,2025-09-14,Primera Division,FC Barcelona,Valencia CF,6,0,Î
Barcelona,2025-08-31,Primera Division,Rayo Vallecano de Madrid,FC Barcelona,1,1,E
Barcelona,2025-08-23,Primera Division,Levante UD,FC Barcelona,2,3,Î
Barcelona,2025-08-16,Primera Division,RCD Mallorca,FC Barcelona,0,3,Î
Bayern Munich,2025-11-08,Bundesliga,1. FC Union Berlin,FC Bayern München,2,2,E
Bayern Munich,2025-11-04,UEFA Champions League,Paris Saint-Germain FC,FC Bayern München,1,2,Î
Bayern Munich,2025-11-01,Bundesliga,FC Bayern München,Bayer 04 Leverkusen,3,0,Î
Bayern Munich,2025-10-25,Bundesliga,Borussia Mönchengladbach,FC Bayern München,0,3,Î
Bayern Munich,2025-10-22,UEFA Champions League,FC Bayern München,Club Brugge KV,4,0,Î
Bayern Munich,2025-10-18,Bundesliga,FC Bayern München,Borussia Dortmund,2,1,Î
Bayern Munich,2025-10-04,Bundesliga,Eintracht Frankfurt,FC Bayern München,0,3,Î
Bayern Munich,2025-09-30,UEFA Champions League,Paphos FC,FC Bayern München,1,5,Î
Bayern Munich,2025-09-26,Bundesliga,FC Bayern München,SV Werder Bremen,4,0,Î
Bayern Munich,2025-09-20,Bundesliga,TSG 1899 Hoffenheim,FC Bayern München,1,4,Î
Bayern Munich,2025-09-17,UEFA Champions League,FC Bayern München,Chelsea FC,3,1,Î
Bayern Munich,2025-09-13,Bundesliga,FC Bayern München,Hamburger SV,5,0,Î
Bayern Munich,2025-08-30,Bundesliga,FC Augsburg,FC Bayern München,2,3,Î
Bayern Munich,2025-08-22,Bundesliga,FC Bayern München,RB Leipzig,6,0,Î
Inter,2025-11-09,Serie A,FC Internazionale Milano,SS Lazio,2,0,Î
Inter,2025-11-05,UEFA Champions League,FC Internazionale Milano,FK Kairat,2,1,Î
Inter,2025-11-02,Serie A,Hellas Verona FC,FC Internazionale Milano,1,2,Î
Inter,2025-10-29,Serie A,FC Internazionale Milano,ACF Fiorentina,3,0,Î
Inter,2025-10-25,Serie A,SSC Napoli,FC Internazionale Milano,3,1,Î
Inter,2025-10-21,UEFA Champions League,Royale Union Saint-Gilloise,FC Internazionale Milano,0,4,Î
Inter,2025-10-18,Serie A,AS Roma,FC Internazionale Milano,0,1,Î
Inter,2025-10-04,Serie A,FC Internazionale Milano,US Cremonese,4,1,Î
Inter,2025-09-30,UEFA Champions League,FC Internazionale Milano,SK Slavia Praha,3,0,Î
Inter,2025-09-27,Serie A,Cagliari Calcio,FC Internazionale Milano,0,2,Î
Inter,2025-09-21,Serie A,FC Internazionale Milano,US Sassuolo Calcio,2,1,Î
Inter,2025-09-17,UEFA Champions League,AFC Ajax,FC Internazionale Milano,0,2,Î
Inter,2025-08-31,Serie A,FC Internazionale Milano,Udinese Calcio,1,2,Î
Inter,2025-08-25,Serie A,FC Internazionale Milano,Torino FC,5,0,Î
Juventus,2025-11-08,Serie A,Juventus FC,Torino FC,0,0,E
Juventus,2025-11-04,UEFA Champions League,Juventus FC,Sporting Clube de Portugal,1,1,E
Juventus,2025-11-01,Serie A,US Cremonese,Juventus FC,1,2,Î
Juventus,2025-10-29,Serie A,Juventus FC,Udinese Calcio,3,1,Î
Juventus,2025-10-26,Serie A,SS Lazio,Juventus FC,1,0,Î
Juventus,2025-10-19,Serie A,Como 1907,Juventus FC,2,0,Î
Juventus,2025-10-05,Serie A,Juventus FC,AC Milan,0,0,E
Juventus,2025-10-01,UEFA Champions League,Villarreal CF,Juventus FC,2,2,E
Juventus,2025-09-27,Serie A,Juventus FC,Atalanta BC,1,1,E
Juventus,2025-09-20,Serie A,Hellas Verona FC,Juventus FC,1,1,E
Juventus,2025-09-16,UEFA Champions League,Juventus FC,Borussia Dortmund,4,4,E
Juventus,2025-09-13,Serie A,Juventus FC,FC Internazionale Milano,4,3,Î
Juventus,2025-08-31,Serie A,Genoa CFC,Juventus FC,0,1,Î
Juventus,2025-08-24,Serie A,Juventus FC,Parma Calcio 1913,2,0,Î
Liverpool,2025-11-01,Premier League,Liverpool FC,Aston Villa FC,2,0,Î
Liverpool,2025-10-25,Premier League,Brentford FC,Liverpool FC,3,2,Î
Liverpool,2025-10-22,UEFA Champions League,Eintracht Frankfurt,Liverpool FC,1,5,Î
Liverpool,2025-10-19,Premier League,Liverpool FC,Manchester United FC,1,2,Î
Liverpool,2025-10-04,Premier League,Chelsea FC,Liverpool FC,2,1,Î
Liverpool,2025-09-30,UEFA Champions League,Galatasaray SK,Liverpool FC,1,0,Î
Liverpool,2025-09-27,Premier League,Crystal Palace FC,Liverpool FC,2,1,Î
Liverpool,2025-09-20,Premier League,Liverpool FC,Everton FC,2,1,Î
Liverpool,2025-09-17,UEFA Champions League,Liverpool FC,Club Atlético de Madrid,3,2,Î
Liverpool,2025-09-14,Premier League,Burnley FC,Liverpool FC,0,1,Î
Liverpool,2025-08-31,Premier League,Liverpool FC,Arsenal FC,1,0,Î
Liverpool,2025-08-25,Premier League,Newcastle United FC,Liverpool FC,2,3,Î
Liverpool,2025-08-15,Premier League,Liverpool FC,AFC Bournemouth,4,2,Î
Manchester City,2025-11-09,Premier League,Manchester City FC,Liverpool FC,3,0,Î
Manchester City,2025-11-05,UEFA Champions League,Manchester City FC,Borussia Dortmund,4,1,Î
Manchester City,2025-11-02,Premier League,Manchester City FC,AFC Bournemouth,3,1,Î
Manchester City,2025-10-26,Premier League,Aston Villa FC,Manchester City FC,1,0,Î
Manchester City,2025-10-21,UEFA Champions League,Villarreal CF,Manchester City FC,0,2,Î
Manchester City,2025-10-18,Premier League,Manchester City FC,Everton FC,2,0,Î
Manchester City,2025-10-05,Premier League,Brentford FC,Manchester City FC,0,1,Î
Manchester City,2025-10-01,UEFA Champions League,AS Monaco FC,Manchester City FC,2,2,E
Manchester City,2025-09-27,Premier League,Manchester City FC,Burnley FC,5,1,Î
Manchester City,2025-09-21,Premier League,Arsenal FC,Manchester City FC,1,1,E
Manchester City,2025-09-18,UEFA Champions League,Manchester City FC,SSC Napoli,2,0,Î
Manchester City,2025-09-14,Premier League,Manchester City FC,Manchester United FC,3,0,Î
Manchester City,2025-08-31,Premier League,Brighton & Hove Albion FC,Manchester City FC,2,1,Î
Manchester City,2025-08-23,Premier League,Manchester City FC,Tottenham Hotspur FC,0,2,Î
Manchester City,2025-08-16,Premier League,Wolverhampton Wanderers FC,Manchester City FC,0,4,Î
PSG,2025-11-09,Ligue 1,Olympique Lyonnais,Paris Saint-Germain FC,2,3,Î
PSG,2025-11-01,Ligue 1,Paris Saint-Germain FC,OGC Nice,1,0,Î
PSG,2025-10-29,Ligue 1,FC Lorient,Paris Saint-Germain FC,1,1,E
PSG,2025-10-25,Ligue 1,Stade Brestois 29,Paris Saint-Germain FC,0,3,Î
PSG,2025-10-21,UEFA Champions League,Bayer 04 Leverkusen,Paris Saint-Germain FC,2,7,Î
PSG,2025-10-17,Ligue 1,Paris Saint-Germain FC,RC Strasbourg Alsace,3,3,E
PSG,2025-10-05,Ligue 1,Lille OSC,Paris Saint-Germain FC,1,1,E
PSG,2025-09-27,Ligue 1,Paris Saint-Germain FC,AJ Auxerre,2,0,Î
PSG,2025-09-22,Ligue 1,Olympique de Marseille,Paris Saint-Germain FC,1,0,Î
PSG,2025-09-17,UEFA Champions League,Paris Saint-Germain FC,Atalanta BC,4,0,Î
PSG,2025-09-14,Ligue 1,Paris Saint-Germain FC,Racing Club de Lens,2,0,Î
PSG,2025-08-30,Ligue 1,Toulouse FC,Paris Saint-Germain FC,3,6,Î
PSG,2025-08-22,Ligue 1,Paris Saint-Germain FC,Angers SCO,1,0,Î
PSG,2025-08-17,Ligue 1,FC Nantes,Paris Saint-Germain FC,0,1,Î
Real Madrid,2025-11-09,Primera Division,Rayo Vallecano de Madrid,Real Madrid CF,0,0,E
Real Madrid,2025-11-04,UEFA Champions League,Liverpool FC,Real Madrid CF,1,0,Î
Real Madrid,2025-11-01,Primera Division,Real Madrid CF,Valencia CF,4,0,Î
Real Madrid,2025-10-26,Primera Division,Real Madrid CF,FC Barcelona,2,1,Î
Real Madrid,2025-10-22,UEFA Champions League,Real Madrid CF,Juventus FC,1,0,Î
Real Madrid,2025-10-19,Primera Division,Getafe CF,Real Madrid CF,0,1,Î
Real Madrid,2025-10-04,Primera Division,Real Madrid CF,Villarreal CF,3,1,Î
Real Madrid,2025-09-30,UEFA Champions League,FK Kairat,Real Madrid CF,0,5,Î
Real Madrid,2025-09-27,Primera Division,Club Atlético de Madrid,Real Madrid CF,5,2,Î
Real Madrid,2025-09-23,Primera Division,Levante UD,Real Madrid CF,1,4,Î
Real Madrid,2025-09-20,Primera Division,Real Madrid CF,RCD Espanyol de Barcelona,2,0,Î
Real Madrid,2025-09-16,UEFA Champions League,Real Madrid CF,Olympique de Marseille,2,1,Î
Real Madrid,2025-09-13,Primera Division,Real Sociedad de Fútbol,Real Madrid CF,1,2,Î
Real Madrid,2025-08-30,Primera Division,Real Madrid CF,RCD Mallorca,2,1,Î
Real Madrid,2025-08-24,Primera Division,Real Oviedo,Real Madrid CF,0,3,Î
Real Madrid,2025-08-19,Primera Division,Real Madrid CF,CA Osasuna,1,0,Î
